time,open,high,low,close
1871-01-02,4.5,4.86,4.5,4.74
1872-01-01,4.86,5.18,4.86,4.95
1873-01-01,5.11,5.11,4.19,4.42
1874-01-01,4.66,4.66,4.46,4.54
1875-01-01,4.54,4.65,4.3,4.37
1876-01-03,4.52,4.52,3.58,3.58
1877-01-01,3.55,3.55,2.73,3.26
1878-01-01,3.25,3.48,3.18,3.47
1879-01-01,3.58,4.92,3.58,4.92
1880-01-01,5.11,5.84,4.79,5.84
1881-01-03,6.17,6.58,6.01,6.01
1882-01-02,5.79,6.24,5.68,5.84
1883-01-01,5.81,5.82,5.38,5.46
1884-01-01,5.18,5.32,4.34,4.34
1885-01-01,4.24,5.2,4.24,5.2
1886-01-01,5.2,5.79,5.12,5.64
1887-01-03,5.54,5.8,5.27,5.27
1888-01-02,5.28,5.35,5.01,5.24
1889-01-01,5.24,5.4,5.18,5.35
1890-01-01,5.38,5.62,4.6,4.6
1891-01-01,4.84,5.41,4.77,5.41
1892-01-01,5.51,5.62,5.48,5.51
1893-01-02,5.51,5.51,4.08,4.41
1894-01-01,4.32,4.51,4.32,4.34
1895-01-01,4.25,4.79,4.19,4.59
1896-01-01,4.27,4.42,4.01,4.22
1897-01-01,4.22,4.98,4.06,4.75
1898-01-03,4.87,5.65,4.57,5.65
1899-01-02,6.31,6.46,6.02,6.02
1900-01-01,6.1,6.48,5.86,6.48
1901-01-01,7.07,8.14,7.07,8.08
1902-01-01,8.12,8.85,8.05,8.05
1903-01-01,8.46,8.46,6.26,6.57
1904-01-01,6.68,8.25,6.48,8.25
1905-01-02,8.8,9.54,8.5,9.54
1906-01-01,9.87,9.93,9.18,9.93
1907-01-01,9.56,9.56,6.25,6.25
1908-01-01,6.85,9.03,6.85,9.03
1909-01-01,9.06,10.3,8.8,10.3
1910-01-03,9.72,9.96,8.64,9.05
1911-01-02,9.43,9.67,8.67,9.11
1912-01-01,9.12,9.84,9.04,9.73
1913-01-01,9.3,9.3,8.04,8.04
1914-01-01,8.37,8.37,7.35,7.35
1915-01-01,7.48,9.48,7.38,9.48
1916-01-03,9.2,10.21,9.17,9.8
1917-01-01,9.57,9.57,7.04,7.04
1918-01-01,7.21,8.06,7.21,8.06
1919-01-01,7.85,9.51,7.85,8.92
1920-01-01,8.83,8.83,6.81,6.81
1921-01-03,7.06,7.31,6.45,7.31
1922-01-02,7.46,9.06,7.46,8.78
1923-01-01,8.9,9.43,8.03,8.27
1924-01-01,8.83,10.16,8.47,10.16
1925-01-01,10.58,12.46,10.28,12.46
1926-01-01,12.65,13.49,11.48,13.49
1927-01-03,13.66,17.66,13.66,17.66
1928-01-02,17.76,24.35,16.950001,24.35
1929-01-01,24.809999,31.860001,17.66,21.450001
1930-01-01,21.18,25.92,14.44,15.34
1931-01-01,15.85,18.17,7.72,8.12
1932-01-01,7.56,9.31,4.4,6.92
1933-01-02,6.83,12.2,5.53,9.97
1934-01-01,10.11,11.82,8.36,9.5
1935-01-01,9.51,13.46,8.06,13.43
1936-01-01,13.4,17.690001,13.4,17.18
1937-01-01,16.93,18.67,10.17,10.55
1938-01-03,10.52,13.91,8.5,13.14
1939-01-02,13.08,13.23,10.42,12.46
1940-01-01,12.63,12.77,8.99,10.58
1941-01-01,10.48,10.86,8.37,8.69
1942-01-01,8.89,9.77,7.47,9.77
1943-01-01,9.92,12.64,9.89,11.67
1944-01-03,11.66,13.28,11.56,13.28
1945-01-01,13.33,17.68,13.21,17.360001
1946-01-01,17.25,19.25,14.12,15.3
1947-01-01,15.2,16.139999,13.77,15.3
1948-01-01,15.34,17.059999,13.84,15.2
1949-01-03,14.95,16.790001,13.55,16.790001
1950-01-02,16.66,20.43,16.66,20.43
1951-01-01,20.77,23.85,20.690001,23.77
1952-01-01,23.799999,26.59,23.09,26.57
1953-01-01,26.540001,26.66,22.709999,24.809999
1954-01-01,24.950001,35.98,24.799999,35.98
1955-01-03,36.75,46.41,34.580002,45.48
1956-01-02,45.16,49.639999,43.110001,46.669998
1957-01-01,46.200001,49.130001,38.98,39.990002
1958-01-01,40.330002,55.209999,40.330002,55.209999
1959-01-01,55.439999,60.709999,53.580002,59.889999
1960-01-01,59.91,60.389999,52.200001,58.110001
1961-01-02,57.57,72.639999,57.57,71.550003
1962-01-01,71.550003,71.959999,51.349998,63.099998
1963-01-01,63.099998,75.360001,62.32,75.019997
1964-01-01,75.019997,86.800003,74.82,84.75
1965-01-01,84.75,93.300003,80.730003,92.43
1966-01-03,92.43,94.720001,72.279999,80.330002
1967-01-02,80.330002,98.309998,79.43,96.470001
1968-01-01,96.470001,109.370003,86.730003,103.860001
1969-01-01,103.860001,106.739998,88.040001,92.059998
1970-01-01,92.059998,94.25,68.610001,92.150002
1971-01-01,92.150002,105.599998,89.339996,102.089996
1972-01-03,102.089996,119.790001,100.870003,118.050003
1973-01-01,118.059998,121.739998,91.050003,97.550003
1974-01-01,97.550003,101.050003,60.959999,68.559998
1975-01-01,68.650002,96.580002,68.650002,90.190002
1976-01-01,90.190002,108.720001,89.809998,107.459999
1977-01-03,107.459999,107.970001,90.010002,95.099998
1978-01-02,95.099998,108.050003,86.449997,96.110001
1979-01-01,96.110001,112.160004,95.220001,107.940002
1980-01-01,106.5,141.96,94.23,135.76
1981-01-01,136.01,140.32,110.19,122.55
1982-01-01,122.64,144.36,102.2,140.64
1983-01-03,140.65,172.65,138.08,164.93
1984-01-02,168.3,171.8,147.26,167.24
1985-01-01,167.2,213.75,163.36,211.28
1986-01-01,212.3,255.2,202.6,242.16
1987-01-01,242.17,337.89,216.47,247.09
1988-01-01,247.1,283.95,240.17,277.72
1989-01-02,277.72,360.44,273.81,353.4
1990-01-01,353.39,369.78,294.51,330.22
1991-01-01,330.2,418.32,309.35,417.09
1992-01-01,417.03,442.65,392.41,435.71
1993-01-01,435.7,471.29,426.88,466.45
1994-01-03,466.45,482.85,435.86,461.17
1995-01-02,459.21,622.88,457.2,615.93
1996-01-01,615.93,762.12,597.29,740.74
1997-01-01,740.74,986.25,729.55,970.43
1998-01-01,970.43,1244.93,912.83,1229.23
1999-01-01,1229.23,1473.1,1206.59,1469.25
2000-01-03,1471.21,1552.87,1254.07,1320.5
2001-01-02,1320.28,1383.37,944.75,1148.16
2002-01-02,1149.97,1176.97,768.63,879.82
2003-01-02,881.44,1112.56,788.9,1111.92
2004-01-02,1112.64,1217.33,1060.72,1211.92
2005-01-03,1213.43,1275.8,1136.22,1248.29
2006-01-03,1252.03,1431.81,1219.29,1418.3
2007-01-03,1418.03,1576.09,1363.98,1468.36
2008-01-02,1467.97,1471.77,747.78,903.25
2009-01-02,902.99,1130.38,666.79,1115.1
2010-01-04,1116.56,1262.6,1010.91,1257.64
2011-01-03,1257.62,1370.58,1074.77,1257.6
2012-01-03,1258.86,1474.51,1258.86,1426.19
2013-01-02,1426.19,1849.44,1426.19,1848.36
2014-01-02,1845.86,2093.55,1737.92,2058.9
2015-01-02,2058.9,2134.72,1867.01,2043.94
2016-01-04,2038.2,2277.53,1810.1,2238.83
2017-01-03,2251.57,2694.97,2245.13,2673.61
2018-01-02,2683.73,2940.91,2346.58,2506.85
2019-01-02,2476.96,3247.93,2443.96,3230.78
2020-01-02,3244.67,3760.2,2191.86,3756.08
2021-01-04,3764.61,4808.93,3662.71,4766.19
2022-01-03,4778.14,4818.62,3491.58,3839.49
2023-01-03,3853.29,4793.3,3794.33,4769.82
2024-01-02,4745.2,6099.97,4682.11,5881.62
2025-01-02,5903.26,6021.04,5773.31,5996.65